HML_SI,HML_SI_BIN,HML_SI_CAT,CORR_PRODUCTION,CORR_NC_RATE,CORR_COKE_RATE,CORR_FUEL_RATE,CORR_COAL_RATE,HM_TEMP,QUARTZ_RATE,LIMESTONE_RATE,SLAG_RATE,PYROXINITE_RATE,SINTER_PERC,PELLET_PERC,HOT_BLAST_TEMP,COLD_BLAST_O2_ENRICH,O2_INJ_FLOW,COLD_BLAST_HUMID,FUR_RAFT_TEMP,COMP_COLD_BLAST_FLOW,UPTAKE_AVG,HL_TOTAL_GJ_HR,UPPER_K,MIDDLE_K,LOWER_K,K,HML_S,HML_CAO,HML_SIO2,HML_MGO,HML_AL2O3,HML_CAO_SIO2,COK_MOISTURE,COK_CSR,COK_CRI,COK_AMS,SIN_CAO_SIO2,SIN_MGO
0.627,1,L,6444.04,37.089,332.09,522.809,190.719,1494.8,0,0,291,19.365,47.959,33.598,1159.711,7.974,24648.024,15.911,2199.092,200.489,96.793,160.136,0.387,0.703,2.711,3.801,0.052,34.218,33.925,9.453,18.813,1.009,2.4,64.7,25.6,35.991,2.617,1.97
0.708,0,H,6295.08,41.62,327.081,529.302,202.221,1496.714,2.381,0,293,16.508,47.943,37.384,1159.189,7.932,24529.385,15.556,2177.224,200.771,107.007,160.421,0.419,0.901,2.494,3.814,0.04,35.701,34.039,9.12,18.353,1.049,2.167,63.47,26.66,36.756,2.633,2.071
0.702,0,H,6256.69,39.478,331.006,534.947,203.942,1501.333,1.905,0,304,16.349,47.879,38.121,1155.798,7.698,23763.237,15.183,2162.532,201.189,115.596,133.745,0.393,0.748,2.675,3.816,0.036,35.623,33.618,9.559,18.525,1.06,1.533,63.5,26.7,35.453,2.634,2.221
0.685,1,L,6408.79,37.136,326.739,527.401,200.662,1497.429,6.667,0,302,17.46,47.983,38.029,1158.959,7.932,24676.76,15,2178.978,201.841,109.38,126.059,0.402,0.718,2.604,3.724,0.045,35.329,34.141,9.26,18.281,1.035,1.733,62.88,26.61,35.934,2.599,1.892
0.736,0,H,6312.8,34.85,329.806,529.084,199.278,1492.6,1.27,0,302,16.825,48.012,38.086,1159.28,8.015,24548.432,15.417,2182.365,198.321,104.819,132.766,0.396,0.71,2.622,3.728,0.046,35.51,34.527,8.597,18.608,1.028,1.833,62.09,27.41,35.215,2.639,1.88
0.653,1,L,6298.43,31.119,340.561,540.611,200.05,1491,0,0,311,22.857,47.973,38.059,1158.144,7.897,24296.837,15.155,2180.14,199.929,100.352,132.178,0.388,0.76,2.68,3.828,0.05,35.93,33.837,8.882,18.665,1.062,2.233,59.6,29.5,37.798,2.599,1.867
0.664,1,L,6046.34,40.19,346.491,532.223,185.732,1501.167,0.984,0,300,5.738,48.014,38.087,1153.006,7.115,21576.024,15.346,2197.71,201.738,101.776,164.636,0.389,0.759,2.676,3.824,0.034,36.315,33.32,9.158,18.71,1.09,1.4,65.7,23.4,35.825,2.537,2.072
0.634,1,L,6335.38,31.569,328.157,519.937,191.78,1510.286,6.825,0,284,19.365,48.004,38.016,1154.699,7.933,24467.677,15,2202.449,200.174,98.477,153.251,0.391,0.795,2.572,3.759,0.049,36.04,33.929,8.797,18.607,1.062,1.333,68,22.7,34.989,2.499,1.861
0.548,1,L,6246.69,37.62,337.139,535.484,198.345,1488,8.73,0,308,20.635,47.973,38.032,1159.129,7.981,24800.778,15,2189.73,201.137,114.291,159.179,0.391,0.664,2.603,3.658,0.052,36.152,34.434,8.872,17.968,1.05,1.267,66.3,25.6,36.264,2.493,2.27
0.737,0,H,6233.63,38.02,340.893,527.622,186.729,1512.143,6.825,0,302,20.476,48.009,37.894,1157.805,7.98,24642.091,15.574,2228.205,200.183,98.126,146.19,0.399,0.834,2.489,3.722,0.049,35.166,34.707,9.516,18.084,1.013,2.167,65.1,24.1,36.823,2.571,1.984
0.679,1,L,6400.15,37.03,331.086,523.581,192.495,1512,1.111,0,291,20.317,47.998,38.052,1156.491,7.855,24256.897,15.388,2191.687,200.839,96.06,126.626,0.377,0.632,2.621,3.629,0.053,34.584,34.84,9.976,17.853,0.993,1.7,66.7,24.8,38.453,2.501,2.005
0.67,1,L,6369.85,34.852,330.62,521.048,190.428,1514.25,0,0,285,9.365,47.988,38.006,1158.14,7.798,24196.852,15.558,2200.951,202.294,104.64,130.567,0.404,0.684,2.657,3.744,0.046,35.04,34.251,9.868,18.261,1.023,2.733,65.1,25.3,37.668,2.513,1.888
